番号,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
1,0,1,1,0,0,1,0,0,1,1
2,0,1,0,1,1,1,0,1,0,1
3,1,0,0,0,1,0,1,0,0,1
4,1,0,1,1,1,1,1,1,0,0
5,1,0,1,1,1,0,1,1,0,1
6,1,0,1,0,1,1,0,0,1,1
7,1,1,1,0,0,0,0,0,0,0
8,0,0,1,1,1,0,0,0,0,1
9,1,1,1,0,1,1,1,0,0,0
10,1,0,1,0,0,1,1,1,1,0
11,0,1,0,0,1,0,0,1,0,0
12,0,1,0,1,1,0,1,0,1,1
13,1,0,0,1,0,0,0,1,1,0
14,0,0,0,1,1,0,0,1,0,1
15,1,0,0,0,0,1,0,1,1,0
16,0,1,1,1,0,1,0,1,0,0
17,1,0,0,1,1,0,1,0,1,0
18,1,0,0,0,0,1,1,1,1,0
19,1,0,1,0,1,1,0,0,0,0
20,1,1,0,0,1,1,1,1,0,0
21,1,0,0,0,1,1,1,0,1,0
22,1,1,0,0,0,1,0,0,0,1
23,1,0,0,1,1,1,1,1,1,1
24,1,1,1,1,1,0,1,0,0,0
25,1,0,1,0,0,0,1,0,1,1
26,1,1,1,1,1,0,0,0,1,1
27,1,1,0,1,0,0,0,0,1,1
28,1,0,0,1,1,1,1,1,1,1
29,0,1,0,0,0,0,1,1,1,0
30,0,1,0,0,1,0,1,0,0,1
31,0,1,1,1,0,1,1,1,1,0
32,0,1,1,1,0,1,1,0,0,0
33,0,0,0,1,1,1,1,1,0,1
34,1,0,1,1,0,1,1,1,1,0
35,1,0,1,0,0,1,1,1,0,0
36,0,0,0,0,1,1,1,1,0,0
37,1,0,1,0,0,1,0,1,0,1
38,0,1,1,1,1,0,1,0,0,1
39,1,0,0,0,1,1,0,0,1,0
40,0,0,1,1,1,0,0,1,1,0
41,1,1,0,0,0,1,0,0,0,1
42,1,1,0,0,1,1,1,1,1,1
43,1,0,1,0,1,0,0,0,0,1
44,1,1,1,1,0,0,0,1,1,1
45,1,1,1,1,0,0,0,0,1,1
46,1,1,0,1,1,0,1,1,0,0
47,0,0,1,0,1,1,1,0,0,0
48,1,0,0,1,0,1,0,1,0,1
49,0,0,1,1,1,0,1,1,0,1
50,0,0,1,0,1,1,1,0,1,0
51,1,1,1,1,0,1,0,1,0,1
52,0,0,1,1,0,1,1,1,1,1
53,0,0,0,0,1,1,1,1,1,0
54,1,1,1,0,1,0,1,0,0,1
55,0,0,0,1,0,0,0,1,1,1
56,0,0,1,1,0,1,0,0,1,0
57,1,0,1,0,0,0,0,1,0,0
58,0,1,0,1,0,1,0,0,1,0
59,0,1,0,1,1,1,1,0,0,1
60,1,1,1,1,0,0,0,0,1,1
61,0,1,0,0,1,0,0,0,0,0
62,1,1,1,1,0,0,1,0,0,1
63,0,1,1,0,1,0,1,0,1,1
64,1,1,0,0,0,1,1,1,1,1
65,0,1,0,1,0,1,1,0,0,0
66,1,1,1,0,1,0,1,0,1,1
67,0,0,1,0,0,0,0,0,1,1
68,1,1,0,1,1,0,0,0,1,1
69,1,1,1,1,1,0,1,0,0,0
70,1,0,0,0,0,1,0,0,0,1
71,0,0,0,0,0,0,1,0,1,0
72,1,0,1,1,0,1,1,0,1,0
73,1,0,1,0,1,1,0,0,0,1
74,0,0,0,0,1,0,0,1,1,1
75,1,1,0,1,1,0,0,1,1,0
76,1,0,0,0,1,0,1,1,1,0
77,0,0,0,0,1,1,0,0,1,1
78,1,0,0,0,1,0,1,1,1,0
79,1,0,0,1,1,0,1,1,1,0
80,1,0,0,0,0,0,0,0,0,1
81,1,0,1,0,0,1,0,0,0,1
82,0,1,0,1,0,1,1,1,1,0
83,1,1,0,0,0,1,0,1,1,0
84,1,0,1,0,1,0,1,1,1,1
85,0,1,0,1,1,0,1,1,1,1
86,0,1,0,1,1,1,0,0,0,0
87,1,1,1,1,1,0,0,1,1,0
88,1,1,1,0,1,1,1,0,0,0
89,1,1,1,0,0,0,0,0,1,1
90,0,0,1,1,0,0,0,1,1,1
91,0,0,1,0,1,0,1,0,0,0
92,0,1,0,1,0,1,1,0,0,0
93,1,0,1,0,1,1,0,1,0,1
94,1,0,0,1,1,1,1,1,0,1
95,1,1,0,0,0,1,1,0,0,1
96,0,1,0,0,0,1,1,1,0,1
97,0,1,1,0,1,0,0,1,1,1
98,0,0,0,0,1,0,1,0,1,0
99,1,0,0,0,0,1,0,1,1,1
100,0,0,1,1,0,0,0,1,1,1
101,1,1,1,0,1,1,0,0,1,0
102,1,1,0,1,1,0,0,0,1,0
103,1,0,1,0,1,1,1,0,0,0
104,1,0,0,0,0,0,1,0,0,1
105,1,1,1,1,1,1,1,0,1,0
106,0,1,0,1,0,1,0,0,1,1
107,0,0,0,0,1,0,0,0,0,1
108,0,1,0,0,0,1,0,1,1,0
109,1,0,0,0,0,0,0,0,1,0
110,0,0,0,0,0,0,1,0,1,1
111,1,0,1,0,0,0,0,0,1,0
112,0,1,0,0,0,0,0,1,0,0
113,0,1,0,1,0,1,0,1,1,0
114,0,1,1,0,0,0,1,0,1,1
115,1,0,0,0,1,1,1,1,1,1
116,1,0,0,1,0,0,1,0,0,1
117,1,1,0,0,0,0,1,1,0,1
118,1,1,1,0,1,1,0,1,1,1
119,1,0,1,0,1,1,1,0,0,1
120,1,1,1,0,0,1,1,0,0,1
121,0,0,1,1,0,1,0,1,0,1
122,1,1,1,1,1,0,0,1,0,0
123,1,0,1,1,1,0,1,0,0,0
124,1,1,1,1,1,0,1,0,1,0
125,1,1,0,1,1,1,1,1,1,1
126,1,1,1,0,0,0,0,1,0,1
127,1,0,1,1,0,0,0,0,0,1
128,1,1,1,1,1,0,1,0,0,0
129,1,0,0,1,1,1,0,0,1,1
130,1,0,0,0,0,1,0,0,1,1
131,0,0,1,1,0,0,1,0,0,1
132,0,0,1,0,1,0,1,0,1,0
133,1,1,1,1,1,1,1,1,1,1
134,0,0,0,0,0,0,1,1,0,0
135,0,1,1,0,0,1,1,1,0,0
136,0,0,0,1,1,1,0,1,0,0
137,0,0,0,1,1,1,0,0,0,1
138,0,0,0,1,0,0,1,1,0,0
139,0,0,0,1,0,1,0,1,0,0
140,0,1,0,1,0,1,1,1,1,0
141,1,1,0,0,1,1,1,1,0,0
142,0,1,0,1,0,0,1,1,0,1
143,0,1,0,0,1,1,1,1,1,1
144,0,0,0,1,0,1,0,1,0,0
